ccn,cares_provider_orig,cares_city_orig,cares_state_orig
030022,MARICOPA COUNTY SPECIAL HEALTH CARE DISTRICT,PHOENIX,AZ
030023,FLAGSTAFF MEDICAL CENTER,FLAGSTAFF,AZ
030024,ST JOSEPHS HOSPITAL AND MEDICAL CENTER,PHOENIX,AZ
030030,ABRAZO CENTRAL CAMPUS (FKA PHOENIX BAPTIST HOSPITAL),PHOENIX,AZ
030030,VHS OF PHOENIX INC,DALLAS,TX
030036,DIGNITY HEALTH,LAS VEGAS,NV
030043,RCHP-SIERRA VISTA INC,SIERRA VISTA,AZ
030055,KINGMAN HOSPITAL INC,KINGMAN,AZ
030061,BANNER BOSWELL MEDICAL CENTER,SUN CITY,AZ
030061,BANNER BOSWELL MEDICAL CENTER,PHOENIX,AZ
030062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,SHOW LOW,AZ
030062,SUMMIT HEALTHCARE ASSOCIATION,SHOW LOW,AZ
030064,BANNER - UNIVERSITY MEDICAL CENTER TUCSON (FKA UNIVERSITY OF ARIZONA MEDICAL CENTER),TUCSON,AZ
030064,BANNER UNIVERSITY MEDICAL CENTER TUCSON CAMPUS LLC,MESA,AZ
030065,BANNER DESERT MEDICAL CENTER,MESA,AZ
030065,BANNER DESERT MEDICAL CENTER,PHOENIX,AZ
030068,MT GRAHAM REGIONAL MEDICAL CENTER INC.,SAFFORD,AZ
030069,HAVASU REGIONAL MEDICAL CENTER LLC,LAKE HAVASU CITY,AZ
030071,FORT DEFIANCE INDIAN HOSPITAL,FORT DEFIANCE,AZ
030073,TUBA CITY REGIONAL HEALTH CARE,TUBA CITY,AZ
030077,SAN CARLOS APACHE HEALTHCARE (FKA PHS INDIAN HOSPITAL - SAN CARLOS),PERIDOT,AZ
030083,VHS ACQUISITION SUBSIDIARY NUMBER 1 INC,DALLAS,TX
030084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,CHINLE,AZ
030085,NORTHWEST HOSPITAL LLC,DALLAS,TX
030088,BANNER BAYWOOD MEDICAL CENTER,MESA,AZ
030088,BANNER BAYWOOD MEDICAL CENTER,PHOENIX,AZ
030089,BANNER THUNDERBIRD MEDICAL CENTER,GLENDALE,AZ
030089,BANNER THUNDERBIRD MEDICAL CENTER,PHOENIX,AZ
030093,BANNER DEL E WEBB MEDICAL CENTER,SUN CITY WEST,AZ
030094,VHS OF ARROWHEAD INC,DALLAS,TX
030101,BULLHEAD CITY HOSPITAL CORPORATION,Dallas,TX
030103,MAYO CLINIC ARIZONA,CHICAGO,IL
030110,HOSPITAL DEVELOPMENT OF WEST PHOENIX INC,DALLAS,TX
030111,BANNER - UNIVERSITY MEDICAL CENTER SOUTH (FKA UNIVERSITY OF ARIZONA MEDICAL CENTER - SOUTH CAMPUS),TUCSON,AZ
030111,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS LLC,PHOENIX,AZ
030113,WHITERIVER INDIAN HOSPITAL,WHITERIVER,AZ
030114,ORO VALLEY HOSPITAL LLC,ORO VALLEY,AZ
030115,BANNER ESTRELLA MEDICAL CENTER,PHOENIX,AZ
030117,"PHC-FORT MOHAVE, INC.",FORT MOHAVE,AZ
030119,DIGNITY HEALTH,LAS VEGAS,NV
030121,MOUNTAIN VISTA MEDICAL CENTER LP,MESA,AZ
030122,BANNER GATEWAY MEDICAL CENTER,MESA,AZ
030130,BANNER IRONWOOD MEDICAL CENTER,PHOENIX,AZ
030137,SANTA CRUZ VALLEY REGIONAL HOSPITAL (FKA GREEN VALLEY HOSPITAL),GREEN VALLEY,AZ
031304,PAGE HOSPITAL,PAGE,AZ
031311,LITTLE COLORADO MEDICAL CENTER,WINSLOW,AZ
031501,TUCSON MEDICAL CENTER (AKA TMC HEALTHCARE),TUCSON,AZ
034110,NCH NORTH NAPLES HOSPITAL,NAPLES,FL
040001,SILOAM SPRINGS ARKANSAS HOSPITAL COMPANY LLC,DALLAS,TX
040002,JOHNSON REGIONAL MEDICAL CENTER,CLARKSVILLE,AR
040004,WASHINGTON REGIONAL MEDICAL CENTER,FAYETTEVILLE,AR
040007,ST VINCENT INFIRMARY MEDICAL CENTER,LITTLE ROCK,AR
040010,MERCY HOSPITAL ROGERS,SPRINGFIELD,MO
040011,JOHN ED CHAMBERS MEMORIAL HOSPITAL INC,DANVILLE,AR
040014,WHITE COUNTY MEDICAL CENTER,SEARCY,AR
040015,MENA HOSPITAL COMMISSION,MENA,AR
040016,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,FAYETTEVILLE,AR
040017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,HARRISON,AR
040019,"FORREST CITY ARKANSAS HOSPITAL COMPANY, LLC",BRENTWOOD,TN
040020,ST. BERNARDS HOSPITAL INC,JONESBORO,AR
040022,NORTHWEST ARKANSAS HOSPITALS LLC,SPRINGDALE,AR
040026,CHI ST VINCENT HOSPITAL HOT SPRINGS,HOT SPRINGS,AR
040027,BAXTER COUNTY REGIONAL HOSPITAL INC,MOUNTAIN HOME,AR
040036,BAPTIST HEALTH,LITTLE ROCK,AR
040036,BAPTIST HEALTH HOSPITALS,LITTLE ROCK,AR
040039,ARKANSAS METHODIST HOSPITAL,PARAGOULD,AR
040041,RUSSELLVILLE HOLDINGS LLC,RUSSELLVILLE,AR
040047,FIVE RIVERS MEDICAL CENTER INC,POCAHONTAS,AR
040050,OUACHITA COUNTY MEDICAL CENTER,CAMDEN,AR
040051,DREW MEMORIAL HOSPITAL INC,MONTICELLO,AR
040055,BAPTIST HEALTH,LITTLE ROCK,AR
040055,BAPTIST HEALTH HOSPITALS,LITTLE ROCK,AR
040062,MERCY HOSPITAL FORT SMITH,FORT SMITH,AR
040067,MAGNOLIA REGIONAL MEDICAL CENTER,MAGNOLIA,AR
040069,MISSISSIPPI COUNTY HOSPITAL SYSTEM,BLYTHEVILLE,AR
040071,JEFFERSON HOSPITAL ASSOCIATION,PINE BLUFF,AR
040072,BAPTIST HEALTH,LITTLE ROCK,AR
040072,BAPTIST HEALTH HOSPITALS,LITTLE ROCK,AR
040076,BAPTIST HEALTH,LITTLE ROCK,AR
040076,BAPTIST HEALTH HOSPITALS,LITTLE ROCK,AR
040078,HOT SPRINGS NATIONAL PARK HOSPITAL HOLDINGS LLC,HOT SPRINGS,AR
040084,SALINE HOSPITAL LLC,BENTON,AR
040085,PHILLIPS HOSPITAL COMPANY LLC,BRENTWOOD,TN
040088,MCSA LLC,ELDORADO,AR
040114,BAPTIST HEALTH,LITTLE ROCK,AR
040114,BAPTIST HEALTH HOSPITALS,LITTLE ROCK,AR
040118,BAPTIST MEMORIAL HOSPITAL-JONESBORO INC,JONESBORO,AR
040119,WHITE RIVER HEALTH SYSTEM INC,BATESVILLE,AR
040137,ST VINCENT INFIRMARY MEDICAL CENTER,LITTLE ROCK,AR
040153,"BRIM HOLDING COMPANY, INC.",HOPE,AR
040156,BAPTIST MEMORIAL HOSPITAL CRITTENDEN,WEST MEMPHIS,AR
050002,HAYWARD SISTERS HOSPITAL,HAYWARD,CA
050006,ST JOSEPH HEALTH NORTHERN CALIFORNIA LLC,EUREKA,CA
050007,SUTTER BAY HOSPITALS,ROSEVILLE,CA
050008,SUTTER BAY HOSPITALS,ROSEVILLE,CA
050009,ST JOSEPH HEALTH NORTHERN CALIFORNIA LLC,EUREKA,CA
050013,ST. HELENA HOSPITAL,ST HELENA,CA
050014,SUTTER VALLEY HOSPITALS,ROSEVILLE,CA
050017,DIGNITY HEALTH,LAS VEGAS,NV
050022,RIVERSIDE COMMUNITY HOSPITAL,RIVERSIDE,CA
050022,"RIVERSIDE HEALTHCARE SYSTEM, L.P.",RIVERSIDE,CA
050024,PRIME HEALTHCARE PARADISE VALLEY,NATIONAL CITY,CA
050025,UCSD MEDICAL CENTER,LA JOLLA,CA
050026,SHARP GROSSMONT HOSPITAL,LA MESA,CA
050026,GROSSMONT HOSPITAL CORPORATION,LA MESA,CA
050028,AMERICAN HOSPITAL MANAGEMENT CORPORATION,ARCATA,CA
050030,OROVILLE HOSPITAL,OROVILLE,CA
050036,BAKERSFIELD MEMORIAL HOSPITAL,BAKERSFIELD,CA
050038,SANTA CLARA VALLEY MEDICAL CENTER,SAN JOSE,CA
050039,ENLOE MEDICAL CENTER,CHICO,CA
050040,OLIVE VIEW - UCLA MEDICAL CENTER,SYLMAR,CA
050042,DIGNITY HEALTH,LAS VEGAS,NV
050043,SUTTER BAY HOSPITALS,ROSEVILLE,CA
050045,EL CENTRO REGIONAL MEDICAL CENTER,EL CENTRO,CA
050047,SUTTER BAY HOSPITALS,ROSEVILLE,CA
050054,SAN GORGONIO MEMORIAL HOSPITAL,BANNING,CA
050056,ANTELOPE VALLEY HOSPITAL (FKA ANTELOPE VALLEY HOSPITAL MEDICAL CENTER),LANCASTER,CA
050056,ANTELOPE VALLEY HEALTH CARE DISTRICT,LANCASTER,CA
050057,KAWEAH DELTA MEDICAL CENTER,VISALIA,CA
050057,KAWEAH DELTA HEALTH CARE DISTRICT,VISALIA,CA
050058,GLENDALE MEMORIAL HOSPITAL,GLENDALE,CA
050058,DIGNITY HEALTH,LAS VEGAS,NV
050060,FRESNO COMMUNITY HOSPITAL AND MEDICAL CENTER,FRESNO,CA
050063,CHA HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,LOS ANGELES,CA
050063,CHA HOLLYWOOD MEDICAL CENTER LP,LOS ANGELES,CA
050067,OAK VALLEY HOSPITAL DISTRICT,OAKDALE,CA
050069,ST JOSEPH HOSPITAL ORANGE,ORANGE,CA
050069,ST JOSEPH HOSPITAL OF ORANGE,ORANGE,CA
050077,SCRIPPS MERCY HOSPITAL SAN DIEGO,SAN DIEGO,CA
050077,SCRIPPS HEALTH,SAN DIEGO,CA
050078,PROVIDENCE HEALTH SYSTEM-SOUTHERN CALIFORNIA,TARZANA,CA
050082,DIGNITY HEALTH,LAS VEGAS,NV
050084,PORT CITY OPERATING COMPANY LLC,STOCKTON,CA
050089,COMMUNITY HOSPITAL OF SAN BERNARDINO,SAN BERNARDINO,CA
050091,COMMUNITY HOSPITAL OF HUNTINGTON PARK,HUNTINGTON PARK,CA
050091,"CHHP HOLDINGS II, LLC",EL SEGUNDO,CA
050093,SAINT AGNES MEDICAL CENTER,FRESNO,CA
050096,WEST COVINA MEDICAL CENTER INC,WEST COVINA,CA
050099,SAN ANTONIO REGIONAL HOSPITAL (FKA SAN ANTONIO COMMUNITY HOSPITAL),UPLAND,CA
050099,SAN ANTONIO REGIONAL HOSPITAL,UPLAND,CA
050100,SHARP MEMORIAL HOSPITAL,SAN DIEGO,CA
050101,SUTTER VALLEY HOSPITALS,ROSEVILLE,CA
050102,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,RIVERSIDE,CA
050103,ADVENTIST HEALTH WHITE MEMORIAL (FKA WHITE MEMORIAL MEDICAL CENTER),LOS ANGELES,CA
050103,WHITE MEMORIAL MEDICAL CENTER,LOS ANGELES,CA
050104,ST FRANCIS MEDICAL CENTER (CA),LYNWOOD,CA
050104,ST.FRANCIS MEDICAL CENTER,LYNWOOD,CA
050107,DIGNITY HEALTH,LAS VEGAS,NV
050108,SUTTER VALLEY HOSPITALS,ROSEVILLE,CA
050110,LOMPOC VALLEY MEDICAL CENTER,LOMPOC,CA
050112,REGENTS OF THE UNIV OF CALIFORNIA,SANTA MONICA,CA
050112,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,SANTA MONICA,CA
050113,SAN MATEO MEDICAL CENTER (AKA SAN MATEO COUNTY HEALTH SYSTEM),SAN MATEO,CA
050113,COUNTY OF SAN MATEO,SAN MATEO,CA
050115,PALOMAR HEALTH,ESCONDIDO,CA
050116,NORTHRIDGE HOSPITAL MEDICAL CENTER,NORTHRIDGE,CA
050116,DIGNITY HEALTH,LAS VEGAS,NV
050118,"DOCTORS HOSPITAL OF MANTECA, INC.",DALLAS,TX
050121,HANFORD COMMUNITY HOSPITAL,HANFORD,CA
050122,DAMERON HOSPITAL ASSOCIATION,Stockton,CA
050124,USC VERDUGO HILLS HOSPITAL,GLENDALE,CA
050124,UNIVERSITY OF SOUTHERN CALIFORNIA,LOS ANGELES,CA
050125,REGIONAL MEDICAL CENTER OF SAN JOSE,SAN JOSE,CA
050125,"SAN JOSE HEALTHCARE SYSTEM, L.P.",SAN JOSE,CA
050126,VALLEY PRESBYTERIAN HOSPITAL,VAN NUYS,CA
050127,DIGNITY COMMUNITY CARE,WOODLAND,CA
050128,TRI-CITY HOSPITAL,OCEANSIDE,CA
050129,DIGNITY HEALTH,LAS VEGAS,NV
050131,SUTTER BAY HOSPITALS,ROSEVILLE,CA
050132,SAN GABRIEL VALLEY MEDICAL CENTER,SAN GABRIEL,CA
050132,AHMC SAN GABRIEL VALLEY MEDICAL,ALHAMBRA,CA
050133,RIDEOUT MEMORIAL HOSPITAL,MARYSVILLE,CA
050136,SRM ALLIANCE HOSPITAL SERVICES,PETALUMA,CA
050145,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,MONTEREY,CA
050149,CALIFORNIA HOSPITAL MEDICAL CENTER,LOS ANGELES,CA
050149,DIGNITY HEALTH,LAS VEGAS,NV
050150,SIERRA NEVADA MEMORIAL-MINERS HOSPITAL,GRASS VALLEY,CA
050152,SAINT FRANCIS MEMORIAL HOSPITAL,SAN FRANCISCO,CA
050153,COUNTY OF SANTA CLARA,SAN JOSE,CA
050158,ENCINO HOSPITAL MEDICAL CENTER,ENCINO,CA
050158,PRIME HEALTHCARE SERVICES - ENCINO LLC,ENCINO,CA
050159,COUNTY OF VENTURA,VENTURA,CA
050167,COUNTY OF SAN JOAQUIN,PASADENA,CA
050168,"ST. JUDE HOSPITAL, INC.",FULLERTON,CA
050169,PIH HEALTH HOSPITAL - WHITTIER (FKA PRESBYTERIAN INTERCOMMUNITY HOSPITAL),WHITTIER,CA
050169,PIH HEALTH HOSPITAL WHITTIER,WHITTIER,CA
050174,ST JOSEPH HEALTH NORTHERN CALIFORNIA LLC,EUREKA,CA
050179,DOCTORS MEDICAL CENTER OF MODESTO INC,DALLAS,TX
050180,JOHN MUIR HEALTH,WALNUT CREEK,CA
050189,SOUTHERN MONTEREY COUNTY MEMORIAL HOSPITAL,KING CITY,CA
050191,DIGNITY HEALTH,LAS VEGAS,NV
050192,REEDLEY COMMUNITY HOSPITAL,REEDLEY,CA
050194,WATSONVILLE HOSPITAL CORPORATION,WATSONVILLE,CA
050195,WASHINGTON TOWNSHIP HOSPITAL DISTRICT,FREMONT,CA
050204,PALMDALE REGIONAL MEDICAL CENTER,PALMDALE,CA
050204,LANCASTER HOSPITAL CORPORATION,PALMDALE,CA
050205,EAST VALLEY GLENDORA HOSPITAL LLC,GLENDORA,CA
050211,ALAMEDA HEALTH SYSTEM,OAKLAND,CA
050222,SHARP CHULA VISTA MEDICAL CENTER,CHULA VISTA,CA
050224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,NEWPORT BEACH,CA
050226,AHMC ANAHEIM REGIONAL MEDICAL,ALHAMBRA,CA
050228,ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL (FKA SAN FRANCISCO GENERAL HOSPITAL),SAN FRANCISCO,CA
050228,CITY & COUNTY OF SAN FRANCISCO,SAN FRANCISCO,CA
050230,PRIME HEALTHCARE SERVICES - GARDEN GROVE LLC,GARDEN GROVE,CA
050231,POMONA VALLEY HOSPITAL MEDICAL CENTER,POMONA,CA
050232,DIGNITY HEALTH,LAS VEGAS,NV
050234,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER,CORONADO,CA
050235,PROVIDENCE SAINT JOSEPH MEDICAL CENTER,BURBANK,CA
050235,PROVIDENCE HEALTH SYSTEM-SOUTHERN CALIFORNIA,TARZANA,CA
050236,SIMI VALLEY HOSPITAL AND HEALTH CARE SERVICES,SIMI VALLEY,CA
050238,METHODIST HOSPITAL OF SOUTHERN CALIFORNIA,ARCADIA,CA
050239,ADVENTIST HEALTH GLENDALE (FKA GLENDALE ADVENTIST MEDICAL CENTER),GLENDALE,CA
050239,GLENDALE ADVENTIST MEDICAL CENTER,GLENDALE,CA
050242,DIGNITY HEALTH,LAS VEGAS,NV
050243,"DESERT REGIONAL MEDICAL CENTER, INC.",DALLAS,TX
050248,COUNTY OF MONTEREY,SALINAS,CA
050254,MARSHALL MEDICAL CENTER,PLACERVILLE,CA
050257,GOOD SAMARITAN HOSPITAL CA LTD PTP,BAKERSFIELD,CA
050261,SIERRA VIEW LOCAL HEALTH CARE DISTRICT,PORTERVILLE,CA
050262,REGENTS UNIV OF CALIF LOS ANGELES,LOS ANGELES,CA
050272,REDLANDS COMMUNITY HOSPITAL,REDLANDS,CA
050276,CONTRA COSTA COUNTY,PLEASANT HILL,CA
050278,PROVIDENCE HOLY CROSS MEDICAL CENTER,MISSION HILLS,CA
050278,PROVIDENCE HEALTH SYSTEM - SOUTHERN CALIFORNIA,MISSION HILLS,CA
050279,HDMC HOLDINGS LLC,DALLAS,TX
050280,DIGNITY HEALTH,LAS VEGAS,NV
050281,ALHAMBRA HOSPITAL MEDICAL CENTER,ALHAMBRA,CA
050281,"ALHAMBRA HOSPITAL MEDICAL CENTER, LP",ALHAMBRA,CA
050283,THE HOSPITAL COMMITTEE FOR THE LIVERMORE-PLEASANTON AREAS,LIVERMORE,CA
050289,SETON MEDICAL CENTER,DALY CITY,CA
050290,PROVIDENCE SAINT JOHN'S HEALTH CENTER,SANTA MONICA,CA
050291,SUTTER BAY HOSPITALS,ROSEVILLE,CA
050292,RIVERSIDE UNIVERSITY HEALTH SYSTEM MEDICAL CENTER (FKA RIVERSIDE COUNTY REGIONAL MEDICAL CENTER),MORENO VALLEY,CA
050292,COUNTY OF RIVERSIDE,RIVERSIDE,CA
050295,DIGNITY HEALTH,LAS VEGAS,NV
050296,HAZEL HAWKINS MEMORIAL HOSPITAL,HOLLISTER,CA
050298,HOSPITAL OF BARSTOW INC,BRENTWOOD,TN
050300,ST MARY MEDICAL CENTER,APPLE VALLEY,CA
050301,UKIAH ADVENTIST HOSPITAL,UKIAH,CA
050305,SUTTER BAY HOSPITALS,ROSEVILLE,CA
050308,EL CAMINO HOSPITAL,MOUNTAIN VIEW,CA
050309,SUTTER VALLEY HOSPITALS,ROSEVILLE,CA
050315,KERN COUNTY HOSPITAL AUTHORITY,BAKERSFIELD,CA
050320,HIGHLAND HOSPITAL (CA),OAKLAND,CA
050320,ALAMEDA HEALTH SYSTEM,OAKLAND,CA
050324,SCRIPPS HEALTH,SAN DIEGO,CA
050327,"SEVENTH-DAY ADVENTISTS LOMA LINDA UNIVERSITY MEDICAL CENTER, INC.",LOMA LINDA,CA
050329,"UHS-CORONA, INC.",CORONA,CA
050334,SALINAS VALLEY MEMORIAL HEALTH CARE SYSTEM,MONTEREY,CA
050335,SONORA COMMUNITY HOSPITAL,SONORA,CA
